participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
10,0,0,112,1.0,1.0
11,0,0,112,1.0,1.0
12,0,0,112,1.0,1.0
13,14,38,123,0.8861788617886179,0.6910569105691057
14,0,0,119,1.0,1.0
15,0,0,119,1.0,1.0
16,0,28,112,1.0,0.75
17,19,45,116,0.8362068965517242,0.6120689655172413
18,0,60,122,1.0,0.5081967213114754
19,0,84,168,1.0,0.5
20,11,37,168,0.9345238095238095,0.7797619047619048
21,84,84,168,0.5,0.5
22,0,0,119,1.0,1.0
23,0,0,168,1.0,1.0
24,33,84,112,0.7053571428571428,0.25
25,0,35,119,1.0,0.7058823529411764
26,0,0,168,1.0,1.0
27,0,88,168,1.0,0.47619047619047616
28,10,65,119,0.9159663865546218,0.45378151260504207
30,163,0,168,0.029761904761904767,1.0
31,0,67,112,1.0,0.4017857142857143
32,112,0,112,0.0,1.0
33,80,28,112,0.2857142857142857,0.75
34,125,106,167,0.25149700598802394,0.3652694610778443
36,84,82,119,0.2941176470588235,0.31092436974789917
37,0,0,168,1.0,1.0
38,0,0,112,1.0,1.0
39,0,85,168,1.0,0.49404761904761907
