Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
10,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
11,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
13,0,109,14,0,0.8861788617886179,0.5,0.44308943089430897,0.4698275862068966,,0,85,38,0,0.6910569105691057,0.5,0.34552845528455284,0.4086538461538462,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
16,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.0701530612244898
17,0,97,19,0,0.8362068965517241,0.5,0.41810344827586204,0.4553990610328638,,71,0,0,45,0.6120689655172413,0.5,0.30603448275862066,0.3796791443850267,
18,0,122,0,0,1.0,0.5,0.5,0.5,,0,62,60,0,0.5081967213114754,0.5,0.2540983606557377,0.3369565217391305,
19,0,168,0,0,1.0,0.5,0.5,0.5,,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.5629960317460317
20,157,0,0,11,0.9345238095238095,0.5,0.46726190476190477,0.48307692307692307,,59,72,12,25,0.7797619047619048,0.7866269783650356,0.7797619047619047,0.7784352165389412,0.8462301587301587
21,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.07008219954648526,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.30562641723356004
22,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
23,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
24,62,17,11,22,0.7053571428571429,0.6426062521952933,0.6726190476190477,0.6486358018823083,0.7104591836734695,0,28,0,84,0.25,0.125,0.5,0.2,0.8858418367346939
25,0,119,0,0,1.0,0.5,0.5,0.5,,84,0,35,0,0.7058823529411765,0.35294117647058826,0.5,0.41379310344827586,0.5547619047619048
26,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
27,0,168,0,0,1.0,0.5,0.5,0.5,,17,63,21,67,0.47619047619047616,0.4659919028340081,0.47619047619047616,0.4337367856595679,0.5548469387755102
28,82,27,8,2,0.9159663865546218,0.9210727969348659,0.8738095238095238,0.8931393678160919,0.977891156462585,40,14,21,44,0.453781512605042,0.4485585076314302,0.4380952380952381,0.42639970337411937,0.38639455782312926
30,0,5,163,0,0.02976190476190476,0.5,0.01488095238095238,0.028901734104046246,,0,168,0,0,1.0,0.5,0.5,0.5,
31,0,112,0,0,1.0,0.5,0.5,0.5,,0,45,39,28,0.4017857142857143,0.3082191780821918,0.26785714285714285,0.28662420382165604,0.05442176870748299
32,0,0,112,0,0.0,0.0,0.0,0.0,,0,112,0,0,1.0,0.5,0.5,0.5,
33,0,32,80,0,0.2857142857142857,0.5,0.14285714285714285,0.22222222222222224,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.057823129251700675
34,33,9,74,51,0.25149700598802394,0.2292056074766355,0.2506454388984509,0.23571193204701057,0.2964716006884681,0,61,106,0,0.3652694610778443,0.5,0.18263473053892215,0.2675438596491228,
36,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.9668367346938777,0,37,82,0,0.31092436974789917,0.5,0.15546218487394958,0.23717948717948717,
37,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
38,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
39,0,168,0,0,1.0,0.5,0.5,0.5,,72,11,73,12,0.49404761904761907,0.4874062968515742,0.494047619047619,0.41721421866710195,0.4759070294784581
