participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
10,0,0,112,1.0,1.0
11,0,0,112,1.0,1.0
12,0,0,112,1.0,1.0
13,61,70,123,0.5040650406504066,0.43089430894308944
14,0,0,119,1.0,1.0
15,0,0,119,1.0,1.0
16,0,28,112,1.0,0.75
17,32,20,116,0.7241379310344828,0.8275862068965517
18,0,17,122,1.0,0.860655737704918
19,0,84,168,1.0,0.5
20,8,48,168,0.9523809523809523,0.7142857142857143
21,84,84,168,0.5,0.5
22,0,0,119,1.0,1.0
23,0,0,168,1.0,1.0
24,35,84,112,0.6875,0.25
25,0,35,119,1.0,0.7058823529411764
26,0,0,168,1.0,1.0
27,0,64,168,1.0,0.6190476190476191
28,31,73,119,0.7394957983193278,0.38655462184873945
30,138,0,168,0.1785714285714286,1.0
31,0,70,112,1.0,0.375
32,93,0,112,0.1696428571428571,1.0
33,95,28,112,0.1517857142857143,0.75
34,113,127,167,0.32335329341317365,0.23952095808383234
36,84,84,119,0.2941176470588235,0.2941176470588235
37,0,0,168,1.0,1.0
38,0,0,112,1.0,1.0
39,0,87,168,1.0,0.4821428571428571
