participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
10,0,0,112,1.0,1.0
11,0,0,112,1.0,1.0
12,0,0,112,1.0,1.0
13,60,83,123,0.5121951219512195,0.3252032520325203
14,0,0,119,1.0,1.0
15,0,0,119,1.0,1.0
16,0,28,112,1.0,0.75
17,25,21,116,0.7844827586206897,0.8189655172413793
18,0,16,122,1.0,0.8688524590163934
19,0,84,168,1.0,0.5
20,4,38,168,0.9761904761904762,0.7738095238095238
21,84,84,168,0.5,0.5
22,0,0,119,1.0,1.0
23,0,0,168,1.0,1.0
24,38,84,112,0.6607142857142857,0.25
25,0,35,119,1.0,0.7058823529411764
26,0,0,168,1.0,1.0
27,0,81,168,1.0,0.5178571428571428
28,24,59,119,0.7983193277310925,0.5042016806722689
30,122,0,168,0.27380952380952384,1.0
31,0,69,112,1.0,0.3839285714285714
32,85,0,112,0.2410714285714286,1.0
33,95,28,112,0.1517857142857143,0.75
34,123,124,167,0.26347305389221554,0.2574850299401198
36,84,84,119,0.2941176470588235,0.2941176470588235
37,0,0,168,1.0,1.0
38,0,0,112,1.0,1.0
39,0,84,168,1.0,0.5
