participant_id,sigma,mtl_auc,stl_auc,ntg_auc,mtl_acc,stl_acc,ntg_acc
10,0.0010957015,,,,1.0,1.0,0.0
11,0.0011455978,,,,1.0,1.0,0.0
12,0.0011221813,,,,1.0,1.0,0.0
13,0.84149665,,,,0.5040650406504065,0.2845528455284553,0.2195121951219512
14,0.0010963301,,,,1.0,1.0,0.0
15,0.0010758176,,,,1.0,1.0,0.0
16,0.001084277,,,,1.0,1.0,0.0
17,0.83468014,,,,0.7241379310344828,0.75,-0.025862068965517238
18,0.0011315123,,,,1.0,1.0,0.0
19,0.0011042072,,,,1.0,1.0,0.0
20,0.19213416,,,,0.9523809523809524,0.9226190476190476,0.029761904761904878
21,0.0011200092,0.8244047619047619,0.928500566893424,-0.10409580498866211,0.5,0.5,0.0
22,0.0011134957,,,,1.0,1.0,0.0
23,0.0010753868,,,,1.0,1.0,0.0
24,0.11477087,0.7529761904761905,0.6556122448979591,0.09736394557823136,0.6875,0.625,0.0625
25,0.5781054,,,,1.0,1.0,0.0
26,0.0011692025,,,,1.0,1.0,0.0
27,0.001108796,,,,1.0,1.0,0.0
28,0.43264666,0.8812925170068027,0.7857142857142857,0.09557823129251697,0.7394957983193278,0.5378151260504201,0.20168067226890762
30,0.8820633,,,,0.1785714285714285,0.3630952380952381,-0.1845238095238096
31,0.0011342295,,,,1.0,1.0,0.0
32,0.546715,,,,0.1696428571428571,0.1160714285714285,0.05357142857142859
33,0.0033215394,,,,0.1517857142857142,0.1339285714285714,0.017857142857142794
34,0.026812943,0.238095238095238,0.1933448078026391,0.0447504302925989,0.3233532934131736,0.3053892215568862,0.0179640718562874
36,0.0010915572,0.2602040816326531,0.0,0.2602040816326531,0.2941176470588235,0.2941176470588235,0.0
37,0.0010972298,,,,1.0,1.0,0.0
38,0.0011041567,,,,1.0,1.0,0.0
39,0.0010928818,,,,1.0,1.0,0.0
