participant_id,sigma,mtl_auc,stl_auc,ntg_auc,mtl_acc,stl_acc,ntg_acc
10,0.036017846,,,,1.0,1.0,0.0
11,0.036470238,,,,1.0,1.0,0.0
12,0.03656014,,,,1.0,1.0,0.0
13,0.8232014,,,,0.4308943089430894,0.2845528455284553,0.1463414634146341
14,0.0360987,,,,1.0,1.0,0.0
15,0.0361113,,,,1.0,1.0,0.0
16,0.036116246,0.2821003401360544,0.4991496598639456,-0.2170493197278912,0.75,0.75,0.0
17,0.57550836,,,,0.8275862068965517,0.3448275862068966,0.48275862068965514
18,0.4381983,,,,0.860655737704918,0.9098360655737704,-0.0491803278688524
19,0.045603633,0.8703939909297053,0.5309665532879818,0.33942743764172345,0.5,0.5,0.0
20,0.73626304,0.7566609977324265,0.667375283446712,0.08928571428571441,0.7142857142857143,0.6607142857142857,0.0535714285714286
21,0.036213696,0.4230442176870748,0.928500566893424,-0.5054563492063492,0.5,0.5,0.0
22,0.036204718,,,,1.0,1.0,0.0
23,0.32421124,,,,1.0,1.0,0.0
24,0.035971917,0.7636054421768708,0.8127125850340136,-0.049107142857142794,0.25,0.25,0.0
25,0.114017084,0.036734693877551,0.0227891156462585,0.013945578231292503,0.7058823529411765,0.7058823529411765,0.0
26,0.036588263,,,,1.0,1.0,0.0
27,0.8913321,0.690051020408163,0.7830215419501134,-0.0929705215419504,0.6190476190476191,0.5595238095238095,0.059523809523809534
28,0.60690546,0.5040816326530613,0.2357142857142857,0.26836734693877556,0.3865546218487395,0.2436974789915966,0.1428571428571429
30,0.56387585,,,,1.0,1.0,0.0
31,0.36586228,0.0267857142857142,0.0741921768707482,-0.04740646258503399,0.375,0.6607142857142857,-0.2857142857142857
32,0.036152497,,,,1.0,1.0,0.0
33,0.036286745,0.6105442176870748,0.9436649659863944,-0.3331207482993196,0.75,0.75,0.0
34,0.11402372,,,,0.2395209580838323,0.4131736526946107,-0.1736526946107784
36,0.067451365,,,,0.2941176470588235,0.3025210084033613,-0.00840336134453784
37,0.03613329,,,,1.0,1.0,0.0
38,0.036268234,,,,1.0,1.0,0.0
39,0.43460217,0.225907029478458,0.2337018140589569,-0.007794784580498898,0.4821428571428571,0.494047619047619,-0.011904761904761918
