Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
10,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
11,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
13,0,63,60,0,0.5121951219512195,0.5,0.25609756097560976,0.33870967741935487,,0,40,83,0,0.3252032520325203,0.5,0.16260162601626016,0.24539877300613497,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
16,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.5650510204081634
17,0,91,25,0,0.7844827586206896,0.5,0.3922413793103448,0.4396135265700483,,95,0,0,21,0.8189655172413793,0.5,0.40948275862068967,0.45023696682464454,
18,0,122,0,0,1.0,0.5,0.5,0.5,,0,106,16,0,0.8688524590163934,0.5,0.4344262295081967,0.4649122807017544,
19,0,168,0,0,1.0,0.5,0.5,0.5,,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.8091695011337869
20,164,0,0,4,0.9761904761904762,0.5,0.4880952380952381,0.4939759036144578,,61,69,15,23,0.7738095238095238,0.7763157894736843,0.7738095238095237,0.7732954545454546,0.8112244897959184
21,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.5,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.5009920634920635
22,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
23,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
24,61,13,15,23,0.6607142857142857,0.5818713450292398,0.5952380952380952,0.584375,0.7151360544217686,0,28,0,84,0.25,0.125,0.5,0.2,0.81781462585034
25,0,119,0,0,1.0,0.5,0.5,0.5,,84,0,35,0,0.7058823529411765,0.35294117647058826,0.5,0.41379310344827586,0.07517006802721089
26,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
27,0,168,0,0,1.0,0.5,0.5,0.5,,8,79,5,76,0.5178571428571429,0.5625310173697271,0.5178571428571428,0.41301815985851703,0.69359410430839
28,63,32,3,21,0.7983193277310925,0.7791595197255574,0.8321428571428571,0.7836363636363636,0.9244897959183673,33,27,8,51,0.5042016806722689,0.5755159474671669,0.5821428571428572,0.5029380530973451,0.6612244897959183
30,0,46,122,0,0.27380952380952384,0.5,0.13690476190476192,0.2149532710280374,,0,168,0,0,1.0,0.5,0.5,0.5,
31,0,112,0,0,1.0,0.5,0.5,0.5,,0,43,41,28,0.38392857142857145,0.3028169014084507,0.25595238095238093,0.27741935483870966,0.04634353741496599
32,0,27,85,0,0.24107142857142858,0.5,0.12053571428571429,0.19424460431654675,,0,112,0,0,1.0,0.5,0.5,0.5,
33,0,17,95,0,0.15178571428571427,0.5,0.07589285714285714,0.13178294573643412,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.8471513605442177
34,36,8,75,48,0.2634730538922156,0.2335907335907336,0.26247848537005164,0.24216934144991697,0.26635111876075734,0,43,124,0,0.25748502994011974,0.5,0.12874251497005987,0.20476190476190476,
36,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.5,0,35,84,0,0.29411764705882354,0.5,0.14705882352941177,0.22727272727272727,
37,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
38,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
39,0,168,0,0,1.0,0.5,0.5,0.5,,83,1,83,1,0.5,0.5,0.5,0.3436279069767442,0.17757936507936506
