participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
10,7,6,112,0.9375,0.9464285714285714
11,4,0,112,0.9642857142857143,1.0
12,1,24,112,0.9910714285714286,0.7857142857142857
13,9,0,123,0.926829268292683,1.0
14,0,0,119,1.0,1.0
15,0,7,119,1.0,0.9411764705882353
16,3,29,112,0.9732142857142857,0.7410714285714286
17,12,88,116,0.896551724137931,0.24137931034482762
18,6,1,122,0.9508196721311475,0.9918032786885246
19,48,86,168,0.7142857142857143,0.48809523809523814
20,155,84,168,0.07738095238095233,0.5
21,83,82,168,0.5059523809523809,0.5119047619047619
22,3,7,119,0.9747899159663865,0.9411764705882353
23,14,3,168,0.9166666666666666,0.9821428571428571
24,90,81,112,0.1964285714285714,0.2767857142857143
25,0,47,119,1.0,0.6050420168067228
26,13,6,168,0.9226190476190477,0.9642857142857143
27,3,81,168,0.9821428571428571,0.5178571428571428
28,84,84,119,0.2941176470588235,0.2941176470588235
30,5,3,168,0.9702380952380952,0.9821428571428571
31,36,21,112,0.6785714285714286,0.8125
32,5,3,112,0.9553571428571429,0.9732142857142857
33,49,44,112,0.5625,0.6071428571428572
34,80,20,167,0.5209580838323353,0.8802395209580838
36,79,4,119,0.33613445378151263,0.9663865546218487
37,0,4,168,1.0,0.9761904761904762
38,1,5,112,0.9910714285714286,0.9553571428571429
39,6,83,168,0.9642857142857143,0.5059523809523809
