Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
10,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
11,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
13,0,35,88,0,0.2845528455284553,0.5,0.14227642276422764,0.22151898734177214,,0,35,88,0,0.2845528455284553,0.5,0.14227642276422764,0.22151898734177214,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
16,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.4991496598639456
17,0,87,29,0,0.75,0.5,0.375,0.42857142857142855,,40,0,0,76,0.3448275862068966,0.5,0.1724137931034483,0.25641025641025644,
18,0,122,0,0,1.0,0.5,0.5,0.5,,0,111,11,0,0.9098360655737705,0.5,0.45491803278688525,0.47639484978540775,
19,0,168,0,0,1.0,0.5,0.5,0.5,,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.5309665532879818
20,155,0,0,13,0.9226190476190477,0.5,0.46130952380952384,0.47987616099071206,,62,49,35,22,0.6607142857142857,0.6646580514011906,0.6607142857142858,0.658670468722153,0.667375283446712
21,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.928500566893424,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.928500566893424
22,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
23,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
24,56,14,14,28,0.625,0.5666666666666667,0.5833333333333333,0.5636363636363636,0.6556122448979591,0,28,0,84,0.25,0.125,0.5,0.2,0.8127125850340136
25,0,119,0,0,1.0,0.5,0.5,0.5,,84,0,35,0,0.7058823529411765,0.35294117647058826,0.5,0.41379310344827586,0.022789115646258504
26,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
27,0,168,0,0,1.0,0.5,0.5,0.5,,12,82,2,72,0.5595238095238095,0.6948051948051948,0.5595238095238095,0.46698679471788707,0.7830215419501134
28,30,34,1,54,0.5378151260504201,0.6770527859237536,0.6642857142857143,0.5372923294450336,0.7857142857142857,0,29,6,84,0.24369747899159663,0.12831858407079647,0.4142857142857143,0.19594594594594594,0.23571428571428574
30,0,61,107,0,0.3630952380952381,0.5,0.18154761904761904,0.26637554585152834,,0,168,0,0,1.0,0.5,0.5,0.5,
31,0,112,0,0,1.0,0.5,0.5,0.5,,0,74,10,28,0.6607142857142857,0.3627450980392157,0.44047619047619047,0.3978494623655914,0.07419217687074829
32,0,13,99,0,0.11607142857142858,0.5,0.05803571428571429,0.104,,0,112,0,0,1.0,0.5,0.5,0.5,
33,0,15,97,0,0.13392857142857142,0.5,0.06696428571428571,0.11811023622047244,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.9436649659863945
34,33,18,65,51,0.30538922155688625,0.29880212954747115,0.30486230636833045,0.29973973395026027,0.19334480780263913,0,69,98,0,0.41317365269461076,0.5,0.20658682634730538,0.2923728813559322,
36,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.0,0,36,83,0,0.3025210084033613,0.5,0.15126050420168066,0.23225806451612901,
37,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
38,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
39,0,168,0,0,1.0,0.5,0.5,0.5,,77,6,78,7,0.49404761904761907,0.4791563275434243,0.494047619047619,0.384031402320666,0.23370181405895693
