participant_id,ar_affinity_score,va_affinity_score
10,-0.00015933967370074242,-1.1175096005899832e-05
11,-0.0006539823953062296,1.4038256267667748e-05
12,-2.548824886616785e-05,1.0664179171726573e-05
13,-3.2990152249112725e-05,-4.669100235332735e-05
14,-2.9933788027847186e-05,-1.2963378139829729e-05
15,-2.096526623063255e-05,-4.952671952196397e-05
16,-0.0007227283203974366,-4.3018699216190726e-05
17,-1.4044039744476322e-05,9.658161434344947e-05
18,-8.622077439213172e-05,-5.269606117508374e-05
19,-0.00012533602421171963,-3.4571952710393816e-05
20,-0.00012889948266092688,-4.410010205901926e-06
21,-5.1803675887640566e-05,-2.844077425834257e-05
22,-0.00010868960089283064,-3.1835734262131155e-05
23,-6.350815237965435e-05,-0.00011487331357784569
24,4.243031071382575e-05,-4.190898107481189e-05
25,3.0808358133072034e-05,0.00012638996122404933
26,4.446078946784837e-06,-2.2563110178452916e-05
27,-7.18702794983983e-05,3.6754689062945545e-05
28,-0.0001583212288096547,-0.0006711645983159542
30,2.325025707250461e-05,-0.00024501304142177105
31,-4.552836253424175e-05,-0.0001914087333716452
32,-1.2765603059960995e-05,-4.58031972812023e-05
33,-0.0012980379397049546,-6.175607995828614e-05
34,-0.0009409470949321985,-9.512723772786558e-05
36,1.1032598195015453e-05,-3.4077111195074394e-05
37,-7.982086390256882e-05,-5.395908738137223e-05
38,-0.00022461588378064334,4.8453921408508904e-06
39,-0.0002558414125815034,-2.9965040084789507e-05
