participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
2,84,84,168,0.5,0.5
5,87,3,168,0.4821428571428571,0.9821428571428571
8,168,67,168,0.0,0.6011904761904762
9,44,61,128,0.65625,0.5234375
10,0,0,112,1.0,1.0
11,0,0,112,1.0,1.0
12,0,0,112,1.0,1.0
13,65,40,123,0.4715447154471545,0.6747967479674797
14,0,0,119,1.0,1.0
15,0,0,119,1.0,1.0
16,0,28,112,1.0,0.75
17,13,45,116,0.8879310344827587,0.6120689655172413
18,0,56,122,1.0,0.540983606557377
19,0,28,112,1.0,0.75
20,78,73,168,0.5357142857142857,0.5654761904761905
21,84,84,168,0.5,0.5
22,0,0,119,1.0,1.0
23,0,33,168,1.0,0.8035714285714286
24,0,84,112,1.0,0.25
25,0,36,119,1.0,0.6974789915966386
26,0,0,168,1.0,1.0
27,0,81,168,1.0,0.5178571428571428
28,1,34,119,0.9915966386554622,0.7142857142857143
29,0,8,110,1.0,0.9272727272727272
30,20,9,168,0.8809523809523809,0.9464285714285714
31,0,27,111,1.0,0.7567567567567568
32,75,0,112,0.3303571428571429,1.0
33,98,28,112,0.125,0.75
34,90,23,168,0.4642857142857143,0.8630952380952381
35,0,17,119,1.0,0.8571428571428572
36,84,62,119,0.2941176470588235,0.4789915966386554
37,0,0,168,1.0,1.0
38,0,0,110,1.0,1.0
39,0,100,168,1.0,0.40476190476190477
