Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
2,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.4238236961451247,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.5480442176870748
5,0,81,3,84,0.48214285714285715,0.24545454545454545,0.48214285714285715,0.32530120481927716,0.5950963718820863,0,165,3,0,0.9821428571428571,0.5,0.49107142857142855,0.49549549549549543,
8,0,0,168,0,0.0,0.0,0.0,0.0,,17,84,0,67,0.6011904761904762,0.7781456953642384,0.6011904761904762,0.5257636401938066,1.0
9,0,84,0,44,0.65625,0.328125,0.5,0.39622641509433965,0.36241883116883117,14,53,31,30,0.5234375,0.47483266398929047,0.4745670995670995,0.4746686402475947,0.6539502164502164
10,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
11,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
13,0,58,65,0,0.4715447154471545,0.5,0.23577235772357724,0.3204419889502762,,0,83,40,0,0.6747967479674797,0.5,0.33739837398373984,0.4029126213592233,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
16,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.8176020408163265
17,0,103,13,0,0.8879310344827587,0.5,0.44396551724137934,0.4703196347031964,,71,0,0,45,0.6120689655172413,0.5,0.30603448275862066,0.3796791443850267,
18,0,122,0,0,1.0,0.5,0.5,0.5,,0,66,56,0,0.5409836065573771,0.5,0.27049180327868855,0.3510638297872341,
19,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.8477891156462586
20,90,0,0,78,0.5357142857142857,0.5,0.26785714285714285,0.3488372093023256,,58,37,47,26,0.5654761904761905,0.5698412698412698,0.5654761904761905,0.5585789871504157,0.5779478458049886
21,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.5014880952380952,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.34282879818594103
22,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
23,0,168,0,0,1.0,0.5,0.5,0.5,,0,135,33,0,0.8035714285714286,0.5,0.4017857142857143,0.44554455445544555,
24,84,28,0,0,1.0,1.0,1.0,1.0,1.0,0,28,0,84,0.25,0.125,0.5,0.2,0.0029761904761904656
25,0,119,0,0,1.0,0.5,0.5,0.5,,50,33,2,34,0.6974789915966386,0.7270378874856487,0.769047619047619,0.6911764705882353,0.826530612244898
26,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
27,0,168,0,0,1.0,0.5,0.5,0.5,,40,47,37,44,0.5178571428571429,0.517982017982018,0.5178571428571428,0.5170186335403726,0.48426870748299317
28,83,35,0,1,0.9915966386554622,0.9861111111111112,0.9940476190476191,0.9899637345028254,1.0,50,35,0,34,0.7142857142857143,0.7536231884057971,0.7976190476190477,0.7096727898966705,0.6775510204081632
29,0,110,0,0,1.0,0.5,0.5,0.5,,0,102,8,0,0.9272727272727272,0.5,0.4636363636363636,0.4811320754716981,
30,0,148,20,0,0.8809523809523809,0.5,0.44047619047619047,0.46835443037974683,,0,159,9,0,0.9464285714285714,0.5,0.4732142857142857,0.4862385321100917,
31,0,111,0,0,1.0,0.5,0.5,0.5,,0,84,0,27,0.7567567567567568,0.3783783783783784,0.5,0.4307692307692308,0.5908289241622575
32,25,12,16,59,0.33035714285714285,0.3893850910340089,0.3630952380952381,0.32121212121212117,0.21938775510204084,0,112,0,0,1.0,0.5,0.5,0.5,
33,0,14,98,0,0.125,0.5,0.0625,0.1111111111111111,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.9498299319727891
34,0,78,6,84,0.4642857142857143,0.24074074074074073,0.4642857142857143,0.3170731707317073,0.3462301587301588,0,145,23,0,0.8630952380952381,0.5,0.43154761904761907,0.46325878594249204,
35,0,119,0,0,1.0,0.5,0.5,0.5,,0,102,17,0,0.8571428571428571,0.5,0.42857142857142855,0.4615384615384615,
36,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.7738095238095238,0,57,62,0,0.4789915966386555,0.5,0.23949579831932774,0.32386363636363635,
37,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
38,0,110,0,0,1.0,0.5,0.5,0.5,,0,110,0,0,1.0,0.5,0.5,0.5,
39,0,168,0,0,1.0,0.5,0.5,0.5,,68,0,84,16,0.40476190476190477,0.2236842105263158,0.40476190476190477,0.288135593220339,0.33758503401360546
