participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
2,84,84,168,0.5,0.5
5,91,7,168,0.45833333333333337,0.9583333333333334
8,136,59,168,0.19047619047619047,0.6488095238095238
9,44,37,128,0.65625,0.7109375
10,0,0,112,1.0,1.0
11,0,0,112,1.0,1.0
12,0,0,112,1.0,1.0
13,61,62,123,0.5040650406504066,0.49593495934959353
14,0,0,119,1.0,1.0
15,0,0,119,1.0,1.0
16,0,28,112,1.0,0.75
17,20,15,116,0.8275862068965517,0.8706896551724138
18,0,35,122,1.0,0.7131147540983607
19,0,28,112,1.0,0.75
20,96,74,168,0.4285714285714286,0.5595238095238095
21,84,84,168,0.5,0.5
22,0,0,119,1.0,1.0
23,0,46,168,1.0,0.7261904761904762
24,0,84,112,1.0,0.25
25,0,76,119,1.0,0.3613445378151261
26,0,0,168,1.0,1.0
27,0,73,168,1.0,0.5654761904761905
28,0,77,119,1.0,0.3529411764705882
29,0,20,110,1.0,0.8181818181818181
30,6,2,168,0.9642857142857143,0.9880952380952381
31,0,32,111,1.0,0.7117117117117118
32,70,0,112,0.375,1.0
33,87,28,112,0.2232142857142857,0.75
34,99,6,168,0.4107142857142857,0.9642857142857143
35,0,16,119,1.0,0.865546218487395
36,84,83,119,0.2941176470588235,0.3025210084033614
37,0,0,168,1.0,1.0
38,0,0,110,1.0,1.0
39,0,94,168,1.0,0.44047619047619047
