participant_id,mean_loss,n_windows,pos_frac,degenerate,sigma2_proxy
2,0.00014525229926221073,231,1.0,True,3.213348e-06
5,0.0018314528279006481,231,0.27272728085517883,False,0.073840536
8,0.18565970659255981,241,0.13278008997440338,False,0.28482667
9,9.838795813266188e-05,282,0.9999999403953552,False,3.9134184e-06
10,0.0001605826837476343,287,1.0,True,3.2957523e-06
11,0.00017743726493790746,288,1.0,True,3.0684653e-06
12,0.00016524219245184213,288,1.0,True,3.1406655e-06
13,0.009860188700258732,280,0.699999988079071,False,0.00033310958
14,0.000160427822265774,280,1.0,True,3.1482043e-06
15,0.00017613728414289653,280,1.0,True,3.4763968e-06
16,0.00016757183766458184,287,1.0,True,3.6387323e-06
17,0.28828176856040955,290,0.7103448510169983,False,0.8574121
18,0.0001267137995455414,280,1.0,True,3.5326473e-06
19,0.00015530774544458836,287,1.0,True,3.3960991e-06
20,0.06553561240434647,231,0.27272728085517883,False,0.81489086
21,0.00010759770520962775,231,1.0,True,2.7917463e-06
22,0.00013137178029865026,280,1.0,True,3.1465804e-06
23,0.00013600934471469373,231,1.0,True,3.10763e-06
24,0.00561048649251461,287,0.12195122241973877,False,0.0037394683
25,0.2540915310382843,259,0.6756756901741028,False,0.89235705
26,0.00012934519327245653,231,1.0,True,3.0794174e-06
27,0.00015505467308685184,231,1.0,True,2.8956324e-06
28,0.010087438859045506,280,0.4000000059604645,False,0.003313633
29,0.00014272303087636828,287,1.0,True,2.960227e-06
30,0.1205134391784668,231,0.6363636255264282,False,0.781007
31,0.00020130995835643262,287,1.0,True,3.1604447e-06
32,0.10823793709278107,287,0.707317054271698,False,0.61322206
33,0.030512342229485512,287,0.12195122241973877,False,0.09939835
34,0.16112323105335236,231,0.6363636255264282,False,1.1085474
35,0.07827206701040268,280,0.699999988079071,False,0.44735694
36,0.00015635762247256935,280,1.0,True,3.5357752e-06
37,0.00014652882236987352,231,1.0,True,3.4927896e-06
38,0.00013994929031468928,287,1.0,True,3.3414933e-06
39,0.00013019052857998759,231,1.0,True,3.2629177e-06
