participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
2,84,84,168,0.5,0.5
5,88,1,168,0.47619047619047616,0.9940476190476191
8,151,48,168,0.10119047619047616,0.7142857142857143
9,44,43,128,0.65625,0.6640625
10,0,0,112,1.0,1.0
11,0,0,112,1.0,1.0
12,0,0,112,1.0,1.0
13,63,58,123,0.4878048780487805,0.5284552845528455
14,0,0,119,1.0,1.0
15,0,0,119,1.0,1.0
16,0,28,112,1.0,0.75
17,15,17,116,0.8706896551724138,0.853448275862069
18,0,40,122,1.0,0.6721311475409837
19,0,28,112,1.0,0.75
20,20,69,168,0.8809523809523809,0.5892857142857143
21,84,84,168,0.5,0.5
22,0,0,119,1.0,1.0
23,0,26,168,1.0,0.8452380952380952
24,1,84,112,0.9910714285714286,0.25
25,0,48,119,1.0,0.5966386554621849
26,0,0,168,1.0,1.0
27,0,72,168,1.0,0.5714285714285714
28,0,68,119,1.0,0.4285714285714286
29,0,18,110,1.0,0.8363636363636364
30,18,0,168,0.8928571428571429,1.0
31,0,27,111,1.0,0.7567567567567568
32,94,0,112,0.1607142857142857,1.0
33,96,28,112,0.1428571428571429,0.75
34,98,9,168,0.41666666666666663,0.9464285714285714
35,0,16,119,1.0,0.865546218487395
36,84,78,119,0.2941176470588235,0.3445378151260504
37,0,0,168,1.0,1.0
38,0,0,110,1.0,1.0
39,0,85,168,1.0,0.49404761904761907
