participant_id,sigma,mtl_auc,stl_auc,ntg_auc,mtl_acc,stl_acc,ntg_acc
2,0.12020744,0.6819019274376418,0.4055413832199546,0.2763605442176872,0.5,0.5,0.0
5,0.15643574,,,,0.9583333333333334,0.988095238095238,-0.029761904761904656
8,0.44280142,1.0,0.9988662131519276,0.0011337868480724156,0.6488095238095238,0.5119047619047619,0.13690476190476197
9,0.6699916,0.873917748917749,0.9523809523809524,-0.07846320346320346,0.7109375,0.8984375,-0.1875
10,0.06117556,,,,1.0,1.0,0.0
11,0.061151017,,,,1.0,1.0,0.0
12,0.061158568,,,,1.0,1.0,0.0
13,0.11301596,,,,0.4959349593495935,0.5203252032520326,-0.0243902439024391
14,0.060678374,,,,1.0,1.0,0.0
15,0.061776463,,,,1.0,1.0,0.0
16,0.061750412,0.7045068027210883,0.7062074829931972,-0.001700680272108901,0.75,0.75,0.0
17,0.75052136,,,,0.8706896551724138,0.8189655172413793,0.051724137931034475
18,0.25832373,,,,0.7131147540983607,0.6475409836065574,0.06557377049180324
19,1.0149984,0.957908163265306,0.9443027210884354,0.013605442176870652,0.75,0.75,0.0
20,0.78057396,0.5994897959183674,0.3373724489795918,0.2621173469387756,0.5595238095238095,0.4166666666666667,0.14285714285714285
21,0.060546223,0.9745606575963716,0.9066043083900228,0.06795634920634874,0.5,0.5,0.0
22,0.061073445,,,,1.0,1.0,0.0
23,0.4019601,,,,0.7261904761904762,1.0,-0.27380952380952384
24,0.060395807,0.6079931972789115,0.1834608843537415,0.42453231292517,0.25,0.25,0.0
25,0.5397233,0.1265306122448979,0.0989795918367347,0.027551020408163193,0.361344537815126,0.2100840336134453,0.1512605042016807
26,0.061100118,,,,1.0,1.0,0.0
27,0.63439035,0.513888888888889,0.5956632653061225,-0.08177437641723351,0.5654761904761905,0.6964285714285714,-0.13095238095238093
28,0.19280748,0.1258503401360544,0.3775510204081633,-0.2517006802721089,0.3529411764705882,0.3949579831932773,-0.04201680672268909
29,0.80782366,,,,0.8181818181818182,0.6090909090909091,0.2090909090909091
30,0.34399477,,,,0.988095238095238,0.9464285714285714,0.04166666666666663
31,0.15797986,0.183641975308642,0.3608906525573192,-0.1772486772486772,0.7117117117117117,0.7567567567567568,-0.04504504504504514
32,0.061127603,,,,1.0,1.0,0.0
33,0.06092699,0.9668367346938777,0.4090136054421768,0.5578231292517009,0.75,0.75,0.0
34,0.6336019,,,,0.9642857142857144,0.9166666666666666,0.04761904761904778
35,0.09391313,,,,0.865546218487395,0.8571428571428571,0.008403361344537896
36,0.8179121,,,,0.3025210084033613,0.361344537815126,-0.05882352941176466
37,0.06241601,,,,1.0,1.0,0.0
38,0.06217957,,,,1.0,1.0,0.0
39,0.35083312,0.4912131519274376,0.6393849206349207,-0.1481717687074831,0.4404761904761904,0.4761904761904761,-0.0357142857142857
