Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
2,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.5,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.2965561224489796
5,0,80,4,84,0.47619047619047616,0.24390243902439024,0.47619047619047616,0.3225806451612903,0.19954648526077098,0,167,1,0,0.9940476190476191,0.5,0.49702380952380953,0.49850746268656715,
8,0,17,151,0,0.10119047619047619,0.5,0.050595238095238096,0.09189189189189188,,36,84,0,48,0.7142857142857143,0.8181818181818181,0.7142857142857143,0.6888888888888889,0.999858276643991
9,0,84,0,44,0.65625,0.328125,0.5,0.39622641509433965,0.4880952380952381,30,55,29,14,0.6640625,0.6527880127732744,0.6682900432900433,0.6507392601053366,0.8306277056277056
10,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
11,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
13,0,60,63,0,0.4878048780487805,0.5,0.24390243902439024,0.32786885245901637,,0,65,58,0,0.5284552845528455,0.5,0.26422764227642276,0.34574468085106386,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
16,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.5627125850340136
17,0,101,15,0,0.8706896551724138,0.5,0.4353448275862069,0.4654377880184332,,99,0,0,17,0.853448275862069,0.5,0.4267241379310345,0.4604651162790698,
18,0,122,0,0,1.0,0.5,0.5,0.5,,0,82,40,0,0.6721311475409836,0.5,0.3360655737704918,0.40196078431372545,
19,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.9774659863945578
20,148,0,0,20,0.8809523809523809,0.5,0.44047619047619047,0.46835443037974683,,26,73,11,58,0.5892857142857143,0.6299773055498247,0.5892857142857143,0.5544109167787815,0.6466836734693877
21,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.49404761904761907,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.7383078231292517
22,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
23,0,168,0,0,1.0,0.5,0.5,0.5,,0,142,26,0,0.8452380952380952,0.5,0.4226190476190476,0.4580645161290322,
24,84,27,1,0,0.9910714285714286,0.9941176470588236,0.9821428571428572,0.987950511027434,0.9995748299319729,0,28,0,84,0.25,0.125,0.5,0.2,0.8509778911564625
25,0,119,0,0,1.0,0.5,0.5,0.5,,71,0,35,13,0.5966386554621849,0.33490566037735847,0.4226190476190476,0.3736842105263158,0.0802721088435374
26,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
27,0,168,0,0,1.0,0.5,0.5,0.5,,50,46,38,34,0.5714285714285714,0.571590909090909,0.5714285714285714,0.5711854792966534,0.520408163265306
28,84,35,0,0,1.0,1.0,1.0,1.0,1.0,50,1,34,34,0.42857142857142855,0.3119047619047619,0.3119047619047619,0.3119047619047619,0.3098639455782313
29,0,110,0,0,1.0,0.5,0.5,0.5,,0,92,18,0,0.8363636363636363,0.5,0.41818181818181815,0.4554455445544554,
30,0,150,18,0,0.8928571428571429,0.5,0.44642857142857145,0.47169811320754723,,0,168,0,0,1.0,0.5,0.5,0.5,
31,0,111,0,0,1.0,0.5,0.5,0.5,,0,84,0,27,0.7567567567567568,0.3783783783783784,0.5,0.4307692307692308,0.22156084656084657
32,15,3,25,69,0.16071428571428573,0.20833333333333334,0.14285714285714285,0.15096774193548385,0.0977891156462585,0,112,0,0,1.0,0.5,0.5,0.5,
33,0,16,96,0,0.14285714285714285,0.5,0.07142857142857142,0.125,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.606079931972789
34,0,70,14,84,0.4166666666666667,0.22727272727272727,0.4166666666666667,0.29411764705882354,0.4023526077097505,0,159,9,0,0.9464285714285714,0.5,0.4732142857142857,0.4862385321100917,
35,0,119,0,0,1.0,0.5,0.5,0.5,,0,103,16,0,0.865546218487395,0.5,0.4327731092436975,0.463963963963964,
36,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.5,0,41,78,0,0.3445378151260504,0.5,0.1722689075630252,0.25625,
37,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
38,0,110,0,0,1.0,0.5,0.5,0.5,,0,110,0,0,1.0,0.5,0.5,0.5,
39,0,168,0,0,1.0,0.5,0.5,0.5,,56,27,57,28,0.49404761904761907,0.49324215607401445,0.49404761904761907,0.4785085637074097,0.5109126984126984
