Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
2,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.4258786848072562,9,79,5,75,0.5238095238095238,0.577922077922078,0.5238095238095238,0.4237695078031213,0.4489795918367347
5,16,74,10,68,0.5357142857142857,0.5682556879739978,0.5357142857142857,0.4728881737731295,0.3157596371882086,0,168,0,0,1.0,0.5,0.5,0.5,
8,0,23,145,0,0.13690476190476192,0.5,0.06845238095238096,0.12041884816753928,,67,84,0,17,0.8988095238095238,0.9158415841584158,0.8988095238095238,0.8977626633255773,0.9956065759637188
9,0,84,0,44,0.65625,0.328125,0.5,0.39622641509433965,0.932224025974026,44,3,81,0,0.3671875,0.6759999999999999,0.5178571428571429,0.2948377882064885,0.7827380952380952
10,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
11,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,112,0,0,1.0,0.5,0.5,0.5,,0,106,6,0,0.9464285714285714,0.5,0.4732142857142857,0.4862385321100917,
13,0,65,58,0,0.5284552845528455,0.5,0.26422764227642276,0.34574468085106386,,0,62,61,0,0.5040650406504065,0.5,0.25203252032520324,0.33513513513513515,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,98,21,0,0.8235294117647058,0.5,0.4117647058823529,0.45161290322580644,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
16,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.627125850340136
17,0,108,8,0,0.9310344827586207,0.5,0.46551724137931033,0.48214285714285715,,114,0,0,2,0.9827586206896551,0.5,0.49137931034482757,0.49565217391304345,
18,0,122,0,0,1.0,0.5,0.5,0.5,,0,80,42,0,0.6557377049180327,0.5,0.32786885245901637,0.39603960396039606,
19,0,112,0,0,1.0,0.5,0.5,0.5,,12,63,21,16,0.6696428571428571,0.5805523590333717,0.5892857142857143,0.5832243789600725,0.6126700680272109
20,68,0,0,100,0.40476190476190477,0.5,0.20238095238095238,0.288135593220339,,16,70,14,68,0.5119047619047619,0.5202898550724637,0.5119047619047619,0.45566619250829776,0.546343537414966
21,0,35,49,84,0.20833333333333334,0.14705882352941177,0.20833333333333334,0.1724137931034483,0.01105442176870748,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.1602891156462585
22,0,119,0,0,1.0,0.5,0.5,0.5,,0,115,4,0,0.9663865546218487,0.5,0.4831932773109244,0.49145299145299143,
23,0,168,0,0,1.0,0.5,0.5,0.5,,0,76,92,0,0.4523809523809524,0.5,0.2261904761904762,0.3114754098360656,
24,84,28,0,0,1.0,1.0,1.0,1.0,1.0,0,28,0,84,0.25,0.125,0.5,0.2,0.3958333333333333
25,0,115,4,0,0.9663865546218487,0.5,0.4831932773109244,0.49145299145299143,,75,0,35,9,0.6302521008403361,0.3409090909090909,0.44642857142857145,0.38659793814432986,0.18299319727891156
26,0,168,0,0,1.0,0.5,0.5,0.5,,0,144,24,0,0.8571428571428571,0.5,0.42857142857142855,0.4615384615384615,
27,0,168,0,0,1.0,0.5,0.5,0.5,,70,34,50,14,0.6190476190476191,0.6458333333333334,0.6190476190476191,0.6007130124777185,0.5165816326530612
28,78,35,0,6,0.9495798319327731,0.9268292682926829,0.9642857142857143,0.9420077972709553,1.0,27,30,5,57,0.4789915966386555,0.5942887931034483,0.5892857142857143,0.47866026003391754,0.6904761904761905
29,0,110,0,0,1.0,0.5,0.5,0.5,,0,63,47,0,0.5727272727272728,0.5,0.2863636363636364,0.36416184971098264,
30,0,166,2,0,0.9880952380952381,0.5,0.49404761904761907,0.4970059880239521,,0,165,3,0,0.9821428571428571,0.5,0.49107142857142855,0.49549549549549543,
31,0,111,0,0,1.0,0.5,0.5,0.5,,0,66,18,27,0.5945945945945946,0.3548387096774194,0.39285714285714285,0.3728813559322034,0.1851851851851852
32,31,7,21,53,0.3392857142857143,0.3564102564102564,0.30952380952380953,0.3074866310160428,0.2274659863945578,0,112,0,0,1.0,0.5,0.5,0.5,
33,0,29,83,0,0.25892857142857145,0.5,0.12946428571428573,0.20567375886524825,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.4241071428571428
34,9,70,14,75,0.47023809523809523,0.4370314842578711,0.47023809523809523,0.3897890054279068,0.4529478458049887,0,99,69,0,0.5892857142857143,0.5,0.29464285714285715,0.37078651685393255,
35,0,118,1,0,0.9915966386554622,0.5,0.4957983193277311,0.4978902953586498,,0,81,38,0,0.680672268907563,0.5,0.3403361344537815,0.405,
36,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.9717687074829932,0,35,84,0,0.29411764705882354,0.5,0.14705882352941177,0.22727272727272727,
37,0,166,2,0,0.9880952380952381,0.5,0.49404761904761907,0.4970059880239521,,0,129,39,0,0.7678571428571429,0.5,0.38392857142857145,0.43434343434343436,
38,0,110,0,0,1.0,0.5,0.5,0.5,,0,110,0,0,1.0,0.5,0.5,0.5,
39,0,168,0,0,1.0,0.5,0.5,0.5,,82,0,84,2,0.4880952380952381,0.2469879518072289,0.4880952380952381,0.328,0.43027210884353745
