participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
2,84,84,168,0.5,0.5
5,93,2,168,0.4464285714285714,0.9880952380952381
8,160,82,168,0.04761904761904767,0.5119047619047619
9,44,13,128,0.65625,0.8984375
10,0,0,112,1.0,1.0
11,0,0,112,1.0,1.0
12,0,0,112,1.0,1.0
13,59,59,123,0.5203252032520325,0.5203252032520325
14,0,0,119,1.0,1.0
15,0,0,119,1.0,1.0
16,0,28,112,1.0,0.75
17,30,21,116,0.7413793103448276,0.8189655172413793
18,0,43,122,1.0,0.6475409836065573
19,0,28,112,1.0,0.75
20,130,98,168,0.22619047619047616,0.41666666666666663
21,84,84,168,0.5,0.5
22,0,0,119,1.0,1.0
23,0,0,168,1.0,1.0
24,0,84,112,1.0,0.25
25,2,94,119,0.9831932773109243,0.2100840336134454
26,0,0,168,1.0,1.0
27,0,51,168,1.0,0.6964285714285714
28,0,72,119,1.0,0.39495798319327735
29,0,43,110,1.0,0.6090909090909091
30,26,9,168,0.8452380952380952,0.9464285714285714
31,0,27,111,1.0,0.7567567567567568
32,66,0,112,0.4107142857142857,1.0
33,91,28,112,0.1875,0.75
34,98,14,168,0.41666666666666663,0.9166666666666666
35,5,17,119,0.957983193277311,0.8571428571428572
36,84,76,119,0.2941176470588235,0.3613445378151261
37,0,0,168,1.0,1.0
38,0,0,110,1.0,1.0
39,0,88,168,1.0,0.47619047619047616
