Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
2,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.39136904761904756,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.40554138321995464
5,42,33,51,42,0.44642857142857145,0.4458064516129032,0.4464285714285714,0.4448353054045411,0.36961451247165533,0,166,2,0,0.9880952380952381,0.5,0.49404761904761907,0.4970059880239521,
8,0,8,160,0,0.047619047619047616,0.5,0.023809523809523808,0.04545454545454545,,2,84,0,82,0.5119047619047619,0.7530120481927711,0.5119047619047619,0.3592558139534883,0.9988662131519275
9,0,84,0,44,0.65625,0.328125,0.5,0.39622641509433965,0.19737554112554112,43,72,12,1,0.8984375,0.8840597758405977,0.9172077922077921,0.8929421604580839,0.9523809523809523
10,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
11,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
13,0,64,59,0,0.5203252032520326,0.5,0.2601626016260163,0.3422459893048128,,0,64,59,0,0.5203252032520326,0.5,0.2601626016260163,0.3422459893048128,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
16,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.7062074829931972
17,0,86,30,0,0.7413793103448276,0.5,0.3706896551724138,0.42574257425742573,,95,0,0,21,0.8189655172413793,0.5,0.40948275862068967,0.45023696682464454,
18,0,122,0,0,1.0,0.5,0.5,0.5,,0,79,43,0,0.6475409836065574,0.5,0.3237704918032787,0.3930348258706468,
19,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.9443027210884354
20,38,0,0,130,0.2261904761904762,0.5,0.1130952380952381,0.18446601941747573,,7,63,21,77,0.4166666666666667,0.35,0.4166666666666667,0.34375000000000006,0.33737244897959184
21,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.9066043083900227,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.9066043083900227
22,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
23,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
24,84,28,0,0,1.0,1.0,1.0,1.0,1.0,0,28,0,84,0.25,0.125,0.5,0.2,0.1834608843537415
25,0,117,2,0,0.9831932773109243,0.5,0.49159663865546216,0.49576271186440674,,25,0,35,59,0.21008403361344538,0.20833333333333334,0.1488095238095238,0.1736111111111111,0.0989795918367347
26,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
27,0,168,0,0,1.0,0.5,0.5,0.5,,74,43,41,10,0.6964285714285714,0.7273995077932731,0.6964285714285714,0.6857279096210982,0.5956632653061225
28,84,35,0,0,1.0,1.0,1.0,1.0,1.0,47,0,35,37,0.3949579831932773,0.2865853658536585,0.27976190476190477,0.28313253012048195,0.3775510204081633
29,0,110,0,0,1.0,0.5,0.5,0.5,,0,67,43,0,0.6090909090909091,0.5,0.30454545454545456,0.3785310734463277,
30,0,142,26,0,0.8452380952380952,0.5,0.4226190476190476,0.4580645161290322,,0,159,9,0,0.9464285714285714,0.5,0.4732142857142857,0.4862385321100917,
31,0,111,0,0,1.0,0.5,0.5,0.5,,0,84,0,27,0.7567567567567568,0.3783783783783784,0.5,0.4307692307692308,0.3608906525573192
32,40,6,22,44,0.4107142857142857,0.3825806451612903,0.34523809523809523,0.35089567966280294,0.22257653061224492,0,112,0,0,1.0,0.5,0.5,0.5,
33,0,21,91,0,0.1875,0.5,0.09375,0.15789473684210525,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.40901360544217685
34,0,70,14,84,0.4166666666666667,0.22727272727272727,0.4166666666666667,0.29411764705882354,0.28273809523809523,0,154,14,0,0.9166666666666666,0.5,0.4583333333333333,0.4782608695652174,
35,0,114,5,0,0.957983193277311,0.5,0.4789915966386555,0.4892703862660944,,0,102,17,0,0.8571428571428571,0.5,0.42857142857142855,0.4615384615384615,
36,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.04115646258503401,0,43,76,0,0.36134453781512604,0.5,0.18067226890756302,0.2654320987654321,
37,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
38,0,110,0,0,1.0,0.5,0.5,0.5,,0,110,0,0,1.0,0.5,0.5,0.5,
39,0,168,0,0,1.0,0.5,0.5,0.5,,0,80,4,84,0.47619047619047616,0.24390243902439024,0.47619047619047616,0.3225806451612903,0.6393849206349207
