Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
2,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.3248299319727891,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.6819019274376418
5,0,77,7,84,0.4583333333333333,0.2391304347826087,0.4583333333333333,0.3142857142857143,0.1860827664399093,0,161,7,0,0.9583333333333334,0.5,0.4791666666666667,0.48936170212765956,
8,0,32,136,0,0.19047619047619047,0.5,0.09523809523809523,0.16,,25,84,0,59,0.6488095238095238,0.7937062937062938,0.6488095238095238,0.5994018510285737,1.0
9,0,84,0,44,0.65625,0.328125,0.5,0.39622641509433965,0.6436688311688312,40,51,33,4,0.7109375,0.7376089663760896,0.7581168831168831,0.7087868167004856,0.873917748917749
10,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
11,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
13,0,62,61,0,0.5040650406504065,0.5,0.25203252032520324,0.33513513513513515,,0,61,62,0,0.4959349593495935,0.5,0.24796747967479674,0.3315217391304348,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
16,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.7045068027210883
17,0,96,20,0,0.8275862068965517,0.5,0.41379310344827586,0.4528301886792453,,101,0,0,15,0.8706896551724138,0.5,0.4353448275862069,0.4654377880184332,
18,0,122,0,0,1.0,0.5,0.5,0.5,,0,87,35,0,0.7131147540983607,0.5,0.35655737704918034,0.41626794258373206,
19,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.9579081632653061
20,72,0,0,96,0.42857142857142855,0.5,0.21428571428571427,0.3,,38,56,28,46,0.5595238095238095,0.5623885918003566,0.5595238095238095,0.5544086021505377,0.5994897959183674
21,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.5145975056689343,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.9745606575963717
22,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
23,0,168,0,0,1.0,0.5,0.5,0.5,,0,122,46,0,0.7261904761904762,0.5,0.3630952380952381,0.42068965517241375,
24,84,28,0,0,1.0,1.0,1.0,1.0,1.0,0,28,0,84,0.25,0.125,0.5,0.2,0.6079931972789115
25,0,119,0,0,1.0,0.5,0.5,0.5,,43,0,35,41,0.36134453781512604,0.27564102564102566,0.25595238095238093,0.2654320987654321,0.12653061224489798
26,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
27,0,168,0,0,1.0,0.5,0.5,0.5,,49,46,38,35,0.5654761904761905,0.5655598126862494,0.5654761904761905,0.5653375863902179,0.513888888888889
28,84,35,0,0,1.0,1.0,1.0,1.0,1.0,42,0,35,42,0.35294117647058826,0.2727272727272727,0.25,0.2608695652173913,0.12585034013605442
29,0,110,0,0,1.0,0.5,0.5,0.5,,0,90,20,0,0.8181818181818182,0.5,0.4090909090909091,0.45,
30,0,162,6,0,0.9642857142857143,0.5,0.48214285714285715,0.4909090909090909,,0,166,2,0,0.9880952380952381,0.5,0.49404761904761907,0.4970059880239521,
31,0,111,0,0,1.0,0.5,0.5,0.5,,0,79,5,27,0.7117117117117117,0.37264150943396224,0.47023809523809523,0.4157894736842105,0.183641975308642
32,36,6,22,48,0.375,0.36590038314176243,0.3214285714285714,0.32669185846788046,0.18835034013605442,0,112,0,0,1.0,0.5,0.5,0.5,
33,0,25,87,0,0.22321428571428573,0.5,0.11160714285714286,0.18248175182481752,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.9668367346938775
34,0,69,15,84,0.4107142857142857,0.22549019607843138,0.4107142857142857,0.29113924050632917,0.3380102040816327,0,162,6,0,0.9642857142857143,0.5,0.48214285714285715,0.4909090909090909,
35,0,119,0,0,1.0,0.5,0.5,0.5,,0,103,16,0,0.865546218487395,0.5,0.4327731092436975,0.463963963963964,
36,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.6991496598639456,0,36,83,0,0.3025210084033613,0.5,0.15126050420168066,0.23225806451612901,
37,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
38,0,110,0,0,1.0,0.5,0.5,0.5,,0,110,0,0,1.0,0.5,0.5,0.5,
39,0,168,0,0,1.0,0.5,0.5,0.5,,64,10,74,20,0.44047619047619047,0.39855072463768115,0.44047619047619047,0.3760075865339023,0.49121315192743764
