participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
104,0,17,36,1.0,0.5277777777777778
105,14,13,56,0.75,0.7678571428571428
106,0,10,51,1.0,0.803921568627451
107,0,22,42,1.0,0.47619047619047616
108,0,1,63,1.0,0.9841269841269842
109,0,2,32,1.0,0.9375
110,16,14,49,0.6734693877551021,0.7142857142857143
111,20,35,62,0.6774193548387097,0.4354838709677419
112,35,2,54,0.35185185185185186,0.962962962962963
113,0,28,31,1.0,0.09677419354838712
114,0,31,52,1.0,0.40384615384615385
116,46,11,46,0.0,0.7608695652173914
117,0,26,68,1.0,0.6176470588235294
120,24,13,46,0.4782608695652174,0.7173913043478262
122,6,11,59,0.8983050847457628,0.8135593220338984
123,10,34,47,0.7872340425531915,0.276595744680851
124,1,13,31,0.967741935483871,0.5806451612903225
125,29,26,43,0.32558139534883723,0.39534883720930236
126,0,1,49,1.0,0.9795918367346939
127,31,0,51,0.3921568627450981,1.0
128,24,4,64,0.625,0.9375
129,21,0,49,0.5714285714285714,1.0
131,4,25,63,0.9365079365079365,0.6031746031746033
132,43,12,51,0.1568627450980392,0.7647058823529411
133,6,0,68,0.9117647058823529,1.0
134,0,3,64,1.0,0.953125
