participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
104,0,12,36,1.0,0.6666666666666667
105,12,12,56,0.7857142857142857,0.7857142857142857
106,0,0,51,1.0,1.0
107,11,14,42,0.7380952380952381,0.6666666666666667
108,0,1,63,1.0,0.9841269841269842
109,0,3,32,1.0,0.90625
110,7,14,49,0.8571428571428572,0.7142857142857143
111,17,32,62,0.7258064516129032,0.4838709677419355
112,35,19,54,0.35185185185185186,0.6481481481481481
113,0,29,31,1.0,0.06451612903225812
114,0,37,52,1.0,0.28846153846153844
116,46,5,46,0.0,0.8913043478260869
117,0,20,68,1.0,0.7058823529411764
120,18,13,46,0.6086956521739131,0.7173913043478262
122,6,1,59,0.8983050847457628,0.9830508474576272
123,9,29,47,0.8085106382978724,0.3829787234042553
124,4,14,31,0.8709677419354839,0.5483870967741935
125,29,12,43,0.32558139534883723,0.7209302325581395
126,0,1,49,1.0,0.9795918367346939
127,33,0,51,0.3529411764705882,1.0
128,15,8,64,0.765625,0.875
129,25,0,49,0.4897959183673469,1.0
131,5,24,63,0.9206349206349207,0.6190476190476191
132,43,7,51,0.1568627450980392,0.8627450980392157
133,4,4,68,0.9411764705882353,0.9411764705882353
134,9,0,64,0.859375,1.0
