participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
104,0,14,36,1.0,0.6111111111111112
105,12,14,56,0.7857142857142857,0.75
106,0,15,51,1.0,0.7058823529411764
107,4,14,42,0.9047619047619048,0.6666666666666667
108,0,1,63,1.0,0.9841269841269842
109,0,7,32,1.0,0.78125
110,5,14,49,0.8979591836734694,0.7142857142857143
111,18,30,62,0.7096774193548387,0.5161290322580645
112,16,1,54,0.7037037037037037,0.9814814814814815
113,0,27,31,1.0,0.12903225806451613
114,0,31,52,1.0,0.40384615384615385
116,46,9,46,0.0,0.8043478260869565
117,0,22,68,1.0,0.6764705882352942
120,21,13,46,0.5434782608695652,0.7173913043478262
122,4,4,59,0.9322033898305084,0.9322033898305084
123,6,9,47,0.8723404255319149,0.8085106382978724
124,12,13,31,0.6129032258064516,0.5806451612903225
125,28,9,43,0.34883720930232553,0.7906976744186046
126,0,1,49,1.0,0.9795918367346939
127,32,0,51,0.37254901960784315,1.0
128,4,20,64,0.9375,0.6875
129,26,0,49,0.4693877551020408,1.0
131,2,23,63,0.9682539682539683,0.6349206349206349
132,42,11,51,0.17647058823529416,0.7843137254901961
133,2,3,68,0.9705882352941176,0.9558823529411765
134,0,0,64,1.0,1.0
