participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
104,0,21,36,1.0,0.41666666666666663
105,14,13,56,0.75,0.7678571428571428
106,0,18,51,1.0,0.6470588235294117
107,12,13,42,0.7142857142857143,0.6904761904761905
108,0,2,63,1.0,0.9682539682539683
109,8,8,32,0.75,0.75
110,12,9,49,0.7551020408163265,0.8163265306122449
111,9,15,62,0.8548387096774194,0.7580645161290323
112,34,32,54,0.37037037037037035,0.40740740740740744
113,0,20,31,1.0,0.3548387096774194
114,0,45,52,1.0,0.13461538461538458
116,46,13,46,0.0,0.7173913043478262
117,1,26,68,0.9852941176470589,0.6176470588235294
120,0,7,46,1.0,0.8478260869565217
122,7,10,59,0.8813559322033898,0.8305084745762712
123,9,6,47,0.8085106382978724,0.8723404255319149
124,23,9,31,0.25806451612903225,0.7096774193548387
125,17,4,43,0.6046511627906976,0.9069767441860466
126,0,1,49,1.0,0.9795918367346939
127,33,3,51,0.3529411764705882,0.9411764705882353
128,2,9,64,0.96875,0.859375
129,0,0,49,1.0,1.0
131,29,15,63,0.5396825396825398,0.7619047619047619
132,32,13,51,0.37254901960784315,0.7450980392156863
133,14,11,68,0.7941176470588236,0.8382352941176471
134,29,7,64,0.546875,0.890625
