Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
104,36,0,0,0,1.0,0.5,0.5,0.5,,11,4,10,11,0.4166666666666667,0.3952380952380953,0.39285714285714285,0.39374498797113067,0.4090909090909091
105,21,21,0,14,0.75,0.8,0.8,0.7499999999999999,0.8285714285714285,11,32,3,10,0.7678571428571429,0.7738095238095237,0.719047619047619,0.7298701298701299,0.8122448979591836
106,51,0,0,0,1.0,0.5,0.5,0.5,,0,33,18,0,0.6470588235294118,0.5,0.3235294117647059,0.3928571428571429,
107,0,30,12,0,0.7142857142857143,0.5,0.35714285714285715,0.41666666666666663,,0,29,0,13,0.6904761904761905,0.34523809523809523,0.5,0.4084507042253521,0.04509283819628647
108,63,0,0,0,1.0,0.5,0.5,0.5,,0,61,2,0,0.9682539682539683,0.5,0.48412698412698413,0.4919354838709677,
109,10,14,0,8,0.75,0.8181818181818181,0.7777777777777778,0.746031746031746,1.0,14,10,8,0,0.75,0.8181818181818181,0.7777777777777778,0.746031746031746,0.9444444444444444
110,26,11,3,9,0.7551020408163265,0.7232758620689655,0.7642857142857142,0.7297794117647058,0.9040816326530612,5,35,0,9,0.8163265306122449,0.8977272727272727,0.6785714285714286,0.7061958694203864,0.6795918367346939
111,53,0,0,9,0.8548387096774194,0.5,0.4274193548387097,0.4608695652173913,,0,47,15,0,0.7580645161290323,0.5,0.3790322580645161,0.43119266055045874,
112,16,4,17,17,0.37037037037037035,0.33766233766233766,0.33766233766233766,0.33766233766233766,0.27705627705627706,1,21,0,32,0.4074074074074074,0.6981132075471699,0.5151515151515151,0.31319554848966613,0.9942279942279942
113,31,0,0,0,1.0,0.5,0.5,0.5,,0,11,20,0,0.3548387096774194,0.5,0.1774193548387097,0.2619047619047619,
114,52,0,0,0,1.0,0.5,0.5,0.5,,7,0,0,45,0.1346153846153846,0.5,0.0673076923076923,0.11864406779661017,
116,0,0,46,0,0.0,0.0,0.0,0.0,,33,0,0,13,0.717391304347826,0.5,0.358695652173913,0.4177215189873417,
117,67,0,0,1,0.9852941176470589,0.5,0.49264705882352944,0.4962962962962963,,10,32,3,23,0.6176470588235294,0.6755244755244756,0.6086580086580087,0.5729468599033817,0.8363636363636364
120,46,0,0,0,1.0,0.5,0.5,0.5,,33,6,7,0,0.8478260869565217,0.9125,0.7307692307692308,0.7678442682047584,0.5221445221445221
122,30,22,7,0,0.8813559322033898,0.9054054054054055,0.8793103448275862,0.8791337430494586,0.9793103448275863,0,49,10,0,0.8305084745762712,0.5,0.4152542372881356,0.4537037037037037,
123,33,5,9,0,0.8085106382978723,0.8928571428571428,0.6785714285714286,0.7031578947368421,1.0,31,10,4,2,0.8723404255319149,0.8595238095238096,0.8268398268398269,0.840497737556561,0.7597402597402598
124,0,8,23,0,0.25806451612903225,0.5,0.12903225806451613,0.20512820512820512,,0,22,9,0,0.7096774193548387,0.5,0.3548387096774194,0.41509433962264153,
125,13,13,1,16,0.6046511627906976,0.6884236453201971,0.6884236453201971,0.6046511627906977,0.8768472906403941,10,29,0,4,0.9069767441860465,0.9393939393939394,0.8571428571428572,0.8844086021505375,0.9704433497536945
126,0,49,0,0,1.0,0.5,0.5,0.5,,14,34,1,0,0.9795918367346939,0.9666666666666667,0.9857142857142858,0.975512243878061,1.0
127,18,0,33,0,0.35294117647058826,0.17647058823529413,0.5,0.2608695652173913,0.7407407407407407,30,18,0,3,0.9411764705882353,0.9285714285714286,0.9545454545454546,0.9377289377289377,0.9983164983164984
128,62,0,0,2,0.96875,0.5,0.484375,0.49206349206349204,,0,55,9,0,0.859375,0.5,0.4296875,0.46218487394957986,
129,49,0,0,0,1.0,0.5,0.5,0.5,,0,49,0,0,1.0,0.5,0.5,0.5,
131,1,33,0,29,0.5396825396825397,0.7661290322580645,0.5166666666666667,0.37962648556876055,0.7090909090909091,20,28,2,13,0.7619047619047619,0.7960088691796009,0.7696969696969698,0.7580025608194623,0.9121212121212121
132,19,0,18,14,0.37254901960784315,0.25675675675675674,0.2878787878787879,0.2714285714285714,0.19528619528619529,24,14,4,9,0.7450980392156863,0.7329192546583851,0.7525252525252526,0.7349060375849661,0.781144781144781
133,54,0,0,14,0.7941176470588235,0.5,0.39705882352941174,0.4426229508196721,,0,57,11,0,0.8382352941176471,0.5,0.41911764705882354,0.45599999999999996,
134,12,23,6,23,0.546875,0.5833333333333333,0.5679802955665025,0.5330817610062893,0.7694581280788177,0,57,7,0,0.890625,0.5,0.4453125,0.47107438016528924,
