participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
104,0,16,36,1.0,0.5555555555555556
105,13,24,56,0.7678571428571428,0.5714285714285714
106,0,7,51,1.0,0.8627450980392157
107,8,14,42,0.8095238095238095,0.6666666666666667
108,0,0,63,1.0,1.0
109,0,11,32,1.0,0.65625
110,5,13,49,0.8979591836734694,0.7346938775510203
111,19,53,62,0.6935483870967742,0.14516129032258063
112,33,1,54,0.38888888888888884,0.9814814814814815
113,0,31,31,1.0,0.0
114,0,30,52,1.0,0.42307692307692313
116,46,8,46,0.0,0.8260869565217391
117,0,15,68,1.0,0.7794117647058824
120,24,13,46,0.4782608695652174,0.7173913043478262
122,8,3,59,0.864406779661017,0.9491525423728814
123,6,24,47,0.8723404255319149,0.4893617021276596
124,11,15,31,0.6451612903225806,0.5161290322580645
125,29,20,43,0.32558139534883723,0.5348837209302326
126,0,1,49,1.0,0.9795918367346939
127,33,0,51,0.3529411764705882,1.0
128,10,16,64,0.84375,0.75
129,21,0,49,0.5714285714285714,1.0
131,4,23,63,0.9365079365079365,0.6349206349206349
132,37,15,51,0.27450980392156865,0.7058823529411764
133,3,0,68,0.9558823529411765,1.0
134,0,1,64,1.0,0.984375
