Dataset,Method,AR_auc_mean,AR_auc_std,AR_acc_mean,AR_acc_std,AR_precision_mean,AR_precision_std,AR_recall_mean,AR_recall_std,AR_f1_mean,AR_f1_std,VA_auc_mean,VA_auc_std,VA_acc_mean,VA_acc_std,VA_precision_mean,VA_precision_std,VA_recall_mean,VA_recall_std,VA_f1_mean,VA_f1_std
VREED,P-STL,0.77990516,0.27514086,0.75056518,0.28228132,0.70620228,0.20771567,0.70066435,0.19477426,0.70322406,0.18640837,0.74039864,0.27413335,0.75131876,0.20922730,0.71936161,0.19363575,0.70728209,0.23403130,0.71224359,0.22142830
VREED,STL,0.78107064,0.26495710,0.76639035,0.28828684,0.72978227,0.26925069,0.74684226,0.24913601,0.73618764,0.25790668,0.75188751,0.34105755,0.73323286,0.26344053,0.70400354,0.23462344,0.71537727,0.24131119,0.70815379,0.22930270
VREED,MTL-HPS,0.77582731,0.32176976,0.75282592,0.29186489,0.71563608,0.26636812,0.73296049,0.24788597,0.72182427,0.25061831,0.75694988,0.34087643,0.76563677,0.24477334,0.73584253,0.19155566,0.73110185,0.23596611,0.73331115,0.22402649
VREED,MTL-PCGrad,0.76842369,0.36979448,0.75131876,0.30134640,0.71817826,0.26008071,0.74209365,0.25104721,0.72493229,0.25038611,0.74012991,0.32463606,0.73323286,0.25390628,0.70189276,0.21081700,0.70911329,0.24626435,0.70492736,0.23961000
VREED,MTL-UW,0.78087329,0.26960512,0.78899774,0.29043703,0.75282874,0.24481722,0.76316435,0.26631783,0.75738628,0.26386113,0.77243388,0.32700055,0.77015825,0.20745159,0.74232094,0.19660743,0.75214089,0.24433810,0.74642142,0.22527970
VREED,MTL-TAG,0.77714481,0.35841419,0.74981161,0.31367454,0.70936180,0.27733652,0.71988148,0.26587289,0.71374996,0.26558322,0.77090851,0.35864047,0.77241899,0.23693497,0.74357159,0.18906596,0.74301429,0.23929482,0.74329071,0.22466072
VREED,SI,,,,,,,,,,,,,,,,,,,,
VREED,TL-FT,,,,,,,,,,,,,,,,,,,,
VREED,Transfer-MTL,,,,,,,,,,,,,,,,,,,,
VREED,MTL-Retrain,,,,,,,,,,,,,,,,,,,,
VREED,Pure-Meta,,,,,,,,,,,,,,,,,,,,
VREED,Reptile-ST,0.69711130,0.41113106,0.65814696,0.25621859,0.68389184,0.32379373,0.70928915,0.20876056,0.65303289,0.27200535,0.88565093,0.17297706,0.70607029,0.17016412,0.69652352,0.25565410,0.75366910,0.23408796,0.68497287,0.23587821
VREED,Reptile-MT,0.78627395,0.39147548,0.71246006,0.28463324,0.75806383,0.37125108,0.78700557,0.25694199,0.71030440,0.33343786,0.90064407,0.17829883,0.71565495,0.17940969,0.71043709,0.25834604,0.77196178,0.24128792,0.69682756,0.24325830
VREED,Reptile-MI,0.78754838,0.38759252,0.73482428,0.29821661,0.76846282,0.37890968,0.80336071,0.25596108,0.73165794,0.33961094,0.91648189,0.18167129,0.70926518,0.19046739,0.71312178,0.25995442,0.77549889,0.24665091,0.69302150,0.24772464
DSSN_EQ,P-STL,0.66856971,0.38511667,0.78203724,0.29769410,0.63234827,0.15562352,0.60783914,0.17698799,0.61673358,0.17083472,0.62997444,0.23732592,0.70339540,0.23026118,0.61015115,0.13332300,0.63208203,0.13254389,0.61587600,0.12157442
DSSN_EQ,STL,0.62073956,0.37408924,0.76867470,0.30383378,0.61444158,0.16178354,0.60041291,0.18458591,0.60605181,0.18222688,0.68383190,0.29953760,0.74917853,0.25353309,0.61304350,0.15076112,0.58456483,0.13403777,0.59189100,0.13078193
DSSN_EQ,MTL-HPS,0.65813472,0.31539665,0.78926616,0.28616888,0.64179222,0.16754212,0.60802384,0.17329461,0.61914203,0.17238519,0.71424135,0.31444437,0.74808324,0.24204178,0.63092963,0.12843908,0.62152122,0.11321040,0.62560363,0.10656854
DSSN_EQ,MTL-PCGrad,0.72147622,0.28573933,0.78291347,0.30226635,0.63283572,0.18421553,0.60666336,0.18005506,0.61593794,0.18384966,0.69926347,0.27099913,0.75662651,0.21819525,0.63640627,0.13287300,0.61528471,0.10780641,0.62296850,0.09924861
DSSN_EQ,MTL-UW,0.70283841,0.30774921,0.79408543,0.30103453,0.65862721,0.17206295,0.63464996,0.17929160,0.64418315,0.18238865,0.69311572,0.28294615,0.76801752,0.22462607,0.65841933,0.12353260,0.63991010,0.09904984,0.64739457,0.09858518
DSSN_EQ,MTL-TAG,0.65813472,0.31539665,0.78926616,0.28616888,0.64179222,0.16754212,0.60802384,0.17329461,0.61914203,0.17238519,0.71424135,0.31444437,0.74808324,0.24204178,0.63092963,0.12843908,0.62152122,0.11321040,0.62560363,0.10656854
DSSN_EQ,SI,,,,,,,,,,,,,,,,,,,,
DSSN_EQ,TL-FT,,,,,,,,,,,,,,,,,,,,
DSSN_EQ,Transfer-MTL,,,,,,,,,,,,,,,,,,,,
DSSN_EQ,MTL-Retrain,,,,,,,,,,,,,,,,,,,,
DSSN_EQ,Pure-Meta,,,,,,,,,,,,,,,,,,,,
DSSN_EQ,Reptile-ST,0.62753857,0.42660053,0.74501992,0.26282606,0.71324358,0.27228921,0.70977093,0.24099087,0.71140211,0.26164394,0.67904433,0.23929579,0.54847278,0.29343376,0.54903388,0.17816827,0.54542278,0.26320083,0.53844323,0.21422876
DSSN_EQ,Reptile-MT,0.63485727,0.36378172,0.75033201,0.26538528,0.72150544,0.27932468,0.72954092,0.24469192,0.72488767,0.26437612,0.53236872,0.22269974,0.55245684,0.26449726,0.55673426,0.08567311,0.55465839,0.14390597,0.54920032,0.09994101
DSSN_EQ,Reptile-MI,0.61983177,0.36316274,0.75166003,0.26459470,0.72282617,0.27932468,0.73053892,0.24391690,0.72610672,0.26409306,0.55417843,0.26645449,0.56042497,0.26766637,0.56563168,0.11530887,0.56281056,0.14869735,0.55659312,0.10003141
DSSN_EM,P-STL,0.51914069,0.30529662,0.78841042,0.28077718,0.47765368,0.09698624,0.48871089,0.09973997,0.47642457,0.11090085,0.66268234,0.18018742,0.75996810,0.25468092,0.61398776,0.11720261,0.54308316,0.08509360,0.53489774,0.10627384
DSSN_EM,STL,0.70919760,0.39771215,0.78362573,0.31879058,0.62445908,0.09663283,0.65422823,0.14940227,0.63512476,0.13000038,0.67808205,0.33648712,0.72275385,0.28577455,0.59254885,0.13147051,0.58052086,0.12540854,0.58470242,0.11743856
